Tee,Nimi,Suurus,Muudetud
C:\Users\Mark\VirtualBox VMs\win7\win7.vdi,win7.vdi,8.0 GB,2026-04-19
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,6.5 GB,2024-10-21
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\Töölaud\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,6.5 GB,2025-11-01
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\Töölaud\Debian_11.0.0_VB_LinuxVMImages.COM.vdi,Debian_11.0.0_VB_LinuxVMImages.COM.vdi,6.5 GB,2026-04-19
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\Töölaud\ubuntu-24.04.3-desktop-amd64.iso,ubuntu-24.04.3-desktop-amd64.iso,5.9 GB,2025-11-01
C:\Users\Mark\VirtualBox VMs\librenms-ubuntu-22.04-amd64\librenms-ubuntu-22.04-amd64-disk001.vdi,librenms-ubuntu-22.04-amd64-disk001.vdi,5.6 GB,2026-03-23
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO,SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO,5.6 GB,2024-10-21
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\Töölaud\FDL-Coding\psdzdata\kiswb\S18A\KIS.data,KIS.data,5.1 GB,2024-11-20
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,5.1 GB,2024-10-21
C:\Users\Mark\OneDrive - Tallinn Polytechnic School\Töölaud\SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,5.1 GB,2025-11-01
