Tee,Nimi,Suurus,Muudetud
C:\Users\randr\Desktop\ATA\driver\mb_driver_597_chipset_5.11.02.217.exe,mb_driver_597_chipset_5.11.02.217.exe,63.6 MB,2023-12-29 18:26
C:\Users\randr\Desktop\ATA\mb_driver_597_chipset_5.11.02.217\mb_driver_597_chipset_5.11.02.217.exe,mb_driver_597_chipset_5.11.02.217.exe,63.6 MB,2023-12-29 18:26
C:\Users\randr\Desktop\ATA\mb_driver_597_chipset_5.11.02.217.zip,mb_driver_597_chipset_5.11.02.217.zip,63.6 MB,2025-03-15 15:46
C:\Users\randr\Desktop\ATA\amd_chipset_software_7.02.13.148.exe,amd_chipset_software_7.02.13.148.exe,61.9 MB,2025-03-15 16:15
C:\Users\randr\Desktop\PROB\SystemLog.xml,SystemLog.xml,17.1 MB,2025-04-06 10:59
C:\Users\randr\Desktop\PROB\kingston ssd\ApplicationLog.xml,ApplicationLog.xml,12.2 MB,2025-04-06 19:21
C:\Users\randr\Desktop\PROB\ApplicationLog.xml,ApplicationLog.xml,10.2 MB,2025-04-06 11:00
C:\Users\randr\Desktop\PROB\SystemLog.evtx,SystemLog.evtx,8.1 MB,2025-04-06 10:53
C:\Users\randr\Desktop\PROB\Recording 2025-04-05 195227.mp4,Recording 2025-04-05 195227.mp4,7.4 MB,2025-04-05 19:52
C:\Users\randr\Desktop\PROB\kingston ssd\SystemLog.xml,SystemLog.xml,6.4 MB,2025-04-06 19:20
