"Tee","Nimi","Bytes","Suurus"
"X:\X\X\Documents\BYOND\cache\http_cache.rsc","http_cache.rsc","290268941","276,82 MB"
"X:\X\X\Pictures\Video Projects\Cozy.tv — Waterfox 2022-09-10 18-24-30.mp4","Cozy.tv — Waterfox 2022-09-10 18-24-30.mp4","167839911","160,06 MB"
"X:\X\X\Documents\BYOND\cache\30EF493","30EF493","133743476","127,55 MB"
"X:\X\X\Documents\BYOND\cache\E863857","E863857","131202582","125,12 MB"
"X:\X\X\Documents\BYOND\cache\byond.rsc","byond.rsc","61423256","58,58 MB"
"X:\X\X\.vscode\extensions\github.copilot-chat-0.44.1\dist\extension.js","extension.js","20299110","19,36 MB"
"X:\X\X\Documents\Banished\Save\Auto.sav","Auto.sav","15948551","15,21 MB"
"X:\X\X\Documents\Banished\Save\Save4.sav","Save4.sav","15917283","15,18 MB"
"X:\X\X\Documents\My Games\Fallout4\Saves\Autosave1_A970E5B2_4E6174652057657374_Commonwealth_061055_20260219223836_59_2.fos","Autosave1_A970E5B2_4E6174652057657374_Commonwealth_061055_20260219223836_59_2.fos","14471293","13,80 MB"
"X:\X\X\Documents\My Games\Fallout4\Saves\Quicksave0_A970E5B2_4E6174652057657374_Commonwealth_061056_20260219223940_59_2.fos","Quicksave0_A970E5B2_4E6174652057657374_Commonwealth_061056_20260219223940_59_2.fos","13979995","13,33 MB"
